NIGHT,EXPID,TILEID,TILERA,TILEDEC,MJD,SURVEY,PROGRAM,FAPRGRM,FAFLAVOR,EXPTIME,EFFTIME_SPEC,GOALTIME,GOALTYPE,MINTFRAC,AIRMASS,EBV,SEEING_ETC,EFFTIME_ETC,TSNR2_ELG,TSNR2_QSO,TSNR2_LRG,TSNR2_LYA,TSNR2_BGS,TSNR2_GPBDARK,TSNR2_GPBBRIGHT,TSNR2_GPBBACKUP,LRG_EFFTIME_DARK,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GPB_EFFTIME_DARK,GPB_EFFTIME_BRIGHT,GPB_EFFTIME_BACKUP,TRANSPARENCY_GFA,SEEING_GFA,FIBER_FRACFLUX_GFA,FIBER_FRACFLUX_ELG_GFA,FIBER_FRACFLUX_BGS_GFA,FIBERFAC_GFA,FIBERFAC_ELG_GFA,FIBERFAC_BGS_GFA,AIRMASS_GFA,SKY_MAG_AB_GFA,SKY_MAG_G_SPEC,SKY_MAG_R_SPEC,SKY_MAG_Z_SPEC,EFFTIME_GFA,EFFTIME_DARK_GFA,EFFTIME_BRIGHT_GFA,EFFTIME_BACKUP_GFA
20201214,67710,80605,36.448,-4.601,59198.17546592,sv1,dark,lrgqso,cmxlrgqso,900.1,17.3,4000.0,dark,0.9,1.245,0.028,0.0,0.0,2.0,0.5,1.3,1.2,125.9,176.7,35.8,312.2,16.4,17.3,17.6,13.7,15.3,18.8,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.147,21.134,19.341,0.0,0.0,0.0,0.0
20201214,67711,80605,36.448,-4.601,59198.18926673,sv1,dark,lrgqso,cmxlrgqso,900.1,15.4,4000.0,dark,0.9,1.25,0.028,0.0,0.0,1.8,0.4,1.2,1.1,115.3,159.5,32.9,275.1,14.8,15.4,16.1,12.4,13.8,17.3,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.152,21.135,19.317,0.0,0.0,0.0,0.0
20201214,67712,80605,36.448,-4.601,59198.20253263,sv1,dark,lrgqso,cmxlrgqso,900.1,34.3,4000.0,dark,0.9,1.264,0.028,0.0,0.0,4.0,1.0,2.6,2.4,246.1,344.2,69.0,587.1,32.3,34.3,34.5,27.2,29.8,36.3,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.158,21.135,19.322,0.0,0.0,0.0,0.0
20201214,67713,80605,36.448,-4.601,59198.21581194,sv1,dark,lrgqso,cmxlrgqso,900.0,43.4,4000.0,dark,0.9,1.289,0.028,0.0,0.0,5.0,1.2,3.3,3.0,311.0,441.3,88.0,744.9,41.1,43.4,43.5,34.0,38.2,46.2,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.157,21.161,19.4,0.0,0.0,0.0,0.0
20201214,67733,80606,36.448,-4.501,59198.2450305,sv1,dark,elg,cmxelg,900.0,107.5,4000.0,dark,0.9,1.381,0.028,0.0,0.0,12.5,3.1,8.2,7.8,757.4,1093.1,214.5,1706.8,100.6,107.5,106.0,89.6,94.6,112.7,125.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.113,21.109,19.363,0.0,0.0,0.0,0.0
20201214,67744,80607,106.74,56.1,59198.26702079,sv1,dark,lrgqso,cmxlrgqso,900.0,300.9,4000.0,dark,0.9,1.224,0.056,0.0,0.0,35.0,8.4,22.7,19.9,2024.1,2953.3,561.0,3931.2,279.8,300.9,283.4,227.4,255.7,294.7,288.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19,21.246,19.607,0.0,0.0,0.0,0.0
20201214,67765,80607,106.74,56.1,59198.33230605,sv1,dark,lrgqso,cmxlrgqso,900.1,289.3,4000.0,dark,0.9,1.112,0.056,0.0,0.0,33.6,8.2,21.9,19.9,1950.3,2926.1,553.4,3952.5,269.5,289.3,273.0,227.9,253.3,290.7,289.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.192,21.177,19.416,0.0,0.0,0.0,0.0
20201214,67766,80607,106.74,56.1,59198.34618685,sv1,dark,lrgqso,cmxlrgqso,900.1,284.4,4000.0,dark,0.9,1.102,0.056,0.0,0.0,33.1,8.0,21.2,19.7,1887.7,2800.9,529.9,3843.4,261.8,284.4,264.3,225.2,242.5,278.3,281.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.184,21.135,19.313,0.0,0.0,0.0,0.0
20201214,67767,80607,106.74,56.1,59198.35939494,sv1,dark,lrgqso,cmxlrgqso,900.1,308.7,4000.0,dark,0.9,1.097,0.056,0.0,0.0,35.9,8.7,23.4,20.4,2070.5,3104.4,586.7,4141.9,287.9,308.7,289.9,233.4,268.7,308.1,303.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19,21.168,19.355,0.0,0.0,0.0,0.0
20201214,67768,80607,106.74,56.1,59198.37261703,sv1,dark,lrgqso,cmxlrgqso,900.1,435.6,4000.0,dark,0.9,1.096,0.056,0.0,0.0,50.7,12.4,33.3,31.3,2925.0,4502.0,836.5,5664.8,410.5,435.6,409.5,357.6,389.7,439.4,415.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,21.159,19.313,0.0,0.0,0.0,0.0
